Year;PollutantID;Pollutant_Name;PlantID;Site;Easting;Northing;Operator;SectorID;Sector; Emission ;Unit;Country
2002;2;Carbon Dioxide as Carbon;7540;Cruden Bay;406810;832588;BP Exploration Co Ltd;3;Oil & gas exploration and production;7119.272727;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;7540;Cruden Bay;406810;832588;BP Exploration Co Ltd;3;Oil & gas exploration and production;5426.454545;Tonnes;Scotland
2004;2;Carbon Dioxide as Carbon;7540;Cruden Bay;406810;832588;BP Exploration Co Ltd;3;Oil & gas exploration and production;4650.019091;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;9030;Brechin;353900;758980;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;9426.272727;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;9030;Brechin;353900;758980;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;10754.45455;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;9030;Brechin;353900;758980;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;7815.545455;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;9030;Brechin;353900;758980;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;6802.636364;Tonnes;Scotland
2002;2;Carbon Dioxide as Carbon;9030;Brechin;353900;758980;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;8163.272727;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;9030;Brechin;353900;758980;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;6512.181818;Tonnes;Scotland
2004;2;Carbon Dioxide as Carbon;9030;Brechin;353900;758980;BP Exploration Operating Co Ltd;3;Oil & gas exploration and production;5452.178182;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;11379;AH001;523567;923356;Amerada Hess Ltd;3;Oil & gas exploration and production;28889.69409;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11379;AH001;523567;923356;Amerada Hess Ltd;3;Oil & gas exploration and production;37454.7704;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11379;AH001;523567;923356;Amerada Hess Ltd;3;Oil & gas exploration and production;43414.2078;Tonnes;Unallocated
2001;2;Carbon Dioxide as Carbon;11379;AH001;523567;923356;Amerada Hess Ltd;3;Oil & gas exploration and production;49740.6564;Tonnes;Unallocated
2002;2;Carbon Dioxide as Carbon;11379;AH001;523567;923356;Amerada Hess Ltd;3;Oil & gas exploration and production;49755.82003;Tonnes;Unallocated
2003;2;Carbon Dioxide as Carbon;11379;AH001;523567;923356;Amerada Hess Ltd;3;Oil & gas exploration and production;42561.87472;Tonnes;Unallocated
2004;2;Carbon Dioxide as Carbon;11379;AH001;523567;923356;Amerada Hess Ltd;3;Oil & gas exploration and production;28642.24184;Tonnes;Unallocated
1998;2;Carbon Dioxide as Carbon;11382;Alba Northern;581669;913041;Chevron North Sea Ltd;3;Oil & gas exploration and production;139143.0208;Tonnes;Unallocated
1999;2;Carbon Dioxide as Carbon;11382;Alba Northern;581669;913041;Chevron North Sea Ltd;3;Oil & gas exploration and production;101192.4247;Tonnes;Unallocated
2000;2;Carbon Dioxide as Carbon;11382;Alba Northern;581669;913041;Chevron North Sea Ltd;3;Oil & gas exploration and production;79999.63374;Tonnes;Unallocated
