jaar;nic;bedrijfsnaam;plaats;stof;emissie totaal;eenheid
2015;21507;MAIN BV;Amsterdam;Kooldioxide (CO2);2150000;kg
2015;21528;N.V. Nederlandse Gasunie (Wieringermeer);Middenmeer;Kooldioxide (CO2);2309307;kg
2015;21529;Gasunie Transport Services B.V.;Heemskerk;Kooldioxide (CO2);548497;kg
2015;21530;OQ Chemicals Nederland BV;Amsterdam;Kooldioxide (CO2);4005826;kg
2015;22006;FrieslandCampina Nederland B.V. Lutjewinkel;Lutjewinkel;Kooldioxide (CO2);7022356;kg
2015;22008;Kaptein PCF;Oosthuizen;Kooldioxide (CO2);603938;kg
2015;22012;CONO Kaasmakers (Middenbeemster);Westbeemster;Kooldioxide (CO2);9253778;kg
2015;22102;Bunge Loders Croklaan Worrmerveer;Wormerveer;Kooldioxide (CO2);18669966;kg
2015;22201;Olam Cocoa BV;Koog aan de Zaan;Kooldioxide (CO2);26936000;kg
2015;22602;Tate & Lyle Netherlands BV;Koog aan de Zaan;Kooldioxide (CO2);74889758;kg
2015;22617;Bunge Netherlands BV;Amsterdam;Kooldioxide (CO2);65504000;kg
2015;22626;Cargill BV (Multiseed);Amsterdam;Kooldioxide (CO2);31663648;kg
2015;23301;Tata Steel IJmuiden BV;Velsen-Noord;Kooldioxide (CO2);6205820633;kg
2015;24000;Vattenfall Power Generation B.V. (Hemweg);Amsterdam;Kooldioxide (CO2);4195068605;kg
2015;24002;Vattenfall Power Generation B.V. (Diemen);Diemen;Kooldioxide (CO2);944315539;kg
2015;24003;Vattenfall Power Generation B.V. (Velsen);Velsen-Noord;Kooldioxide (CO2);4053998822;kg
2015;24302;Crown van Gelder International B.V.;Velsen-Noord;Kooldioxide (CO2);142670401;kg
2015;24605;Forbo Flooring BV;Assendelft;Kooldioxide (CO2);13042587;kg
2015;24606;BN International BV;Huizen;Kooldioxide (CO2);7411600;kg
2015;28070;Alpha Assembly Solutions Netherlands BV;Naarden;Kooldioxide (CO2);847000;kg
2015;28072;Quaker Chemical B.V. (A Quaker Houghton Company);Uithoorn;Kooldioxide (CO2);2370186;kg
2015;28085;AEB Amsterdam;Amsterdam;Kooldioxide (CO2);1168937613;kg
2015;28091;HVC N.V.;Alkmaar;Kooldioxide (CO2);1078329390;kg
2015;28094;Linde Gas IJmuiden;Velsen-Noord;Kooldioxide (CO2);3620000;kg
2015;28097;A-ware Zaandam BV;Zaandam;Kooldioxide (CO2);303000;kg
2015;28098;FrieslandCampina Limmen (Ecomel);Limmen;Kooldioxide (CO2);653000;kg
2015;28175;Waeles Nederland BV;Nieuw-Vennep;Kooldioxide (CO2);202114;kg
2015;28176;Vattenfall Power Generation B.V. (IJmond 1);Velsen-Noord;Kooldioxide (CO2);1984209822;kg
2015;31311;CARBOGEN AMCIS B.V.;Veenendaal;Kooldioxide (CO2);2390000;kg
2015;33104;Trivium Aluminium Packaging Netherlands B.V.;Veenendaal;Kooldioxide (CO2);5453063;kg
2015;33414;IQatalyst B.V.;De Meern;Kooldioxide (CO2);7423769;kg
2015;34303;Remia CV;Den Dolder;Kooldioxide (CO2);4800000;kg
2015;38002;Stichting AL-terrein;Bilthoven;Kooldioxide (CO2);13746291;kg
2015;39103;Koninklijke ERU Kaasfabriek B.V.;Woerden;Kooldioxide (CO2);480535;kg
2015;39105;Vrumona;Bunnik;Kooldioxide (CO2);5130000;kg
2015;41003;Shell Nederland Chemie BV (Moerdijk);Moerdijk;Kooldioxide (CO2);1314596983;kg
2015;41101;SABIC Innovative Plastics BV;Bergen op Zoom;Kooldioxide (CO2);334085000;kg
2015;41102;Allnex Netherlands B.V.;Bergen op Zoom;Kooldioxide (CO2);11138992;kg
2015;41103;Synthos Breda BV;Breda;Kooldioxide (CO2);7546466;kg
2015;41106;IFF Nederland BV;Tilburg;Kooldioxide (CO2);8892575;kg
2015;41113;BEWI RAW BV;Etten-Leur;Kooldioxide (CO2);6801745;kg
2015;41307;Aspen Oss B.V.;Oss;Kooldioxide (CO2);23981000;kg
2015;41402;Trobas Gelatine B.V.;Dongen;Kooldioxide (CO2);9598254;kg
2015;41428;Covestro (Netherlands) B.V., vestiging Waalwijk;Waalwijk;Kooldioxide (CO2);4521000;kg
2015;41502;Ravenstein;Ravenstein;Kooldioxide (CO2);5532873;kg
2015;41521;Afvalstoffen Terminal Moerdijk BV (ATM);Moerdijk;Kooldioxide (CO2);299774480;kg
2015;42022;Nutricia Cuijk B.V.;Cuijk;Kooldioxide (CO2);4284593;kg
2015;42034;FrieslandCampina DMV B.V.;Veghel;Kooldioxide (CO2);105604000;kg
2015;42206;Mars Nederland BV;Veghel;Kooldioxide (CO2);13136000;kg
2015;42310;Cosun Beet Company-Dinteloord;Dinteloord;Kooldioxide (CO2);122871000;kg
2015;42408;Swinkels Family Brewers N.V.;Lieshout;Kooldioxide (CO2);50762600;kg
2015;42410;Heineken Netherlands Supply B.V. (Den Bosch);'s-Hertogenbosch;Kooldioxide (CO2);18466000;kg
2015;42629;Cargill BV;Bergen op Zoom;Kooldioxide (CO2);22831132;kg
2015;42823;Zwanenberg Food Oss b.v.;Oss;Kooldioxide (CO2);12018000;kg
2015;42834;Rendac Son BV;Son en Breugel;Kooldioxide (CO2);10805000;kg
2015;43002;Mannesmann Precision Tubes Netherlands BV;Helmond;Kooldioxide (CO2);1758451;kg
