identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006104639;AD PLATING MARNAZ;2006;Eau (direct);Cuivre et composés (exprimés en tant que Cu);58.6;kg/an
0006104639;AD PLATING MARNAZ;2006;Eau (direct);Nickel et composés (exprimés en tant que Ni);116;kg/an
0006104645;THERMOCOMPACT S.A.;2006;Eau (direct);Nickel et composés (exprimés en tant que Ni);56;kg/an
0006104655;SET MONT BLANC - SUEZ;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;17600000;kg/an
0006104655;SET MONT BLANC - SUEZ;2006;Air;Dioxyde de carbone (CO2) d'origine biomasse;23000000;kg/an
0006104660;BAIKOWSKI;2006;Air;Ammoniac (NH3);23100;kg/an
0006104660;BAIKOWSKI;2006;Air;Oxydes de soufre (SOx/SO2);203000;kg/an
0006104660;BAIKOWSKI;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;22300000;kg/an
0006104660;BAIKOWSKI;2006;Eau (direct);Ammoniac (NH3);11000;kg/an
0006104663;SAEME DANONE EAUX FRANCE;2006;Air;Acétaldéhyde (aldéhyde acétique  éthanal);667;kg/an
0006104664;PAPETERIES DU LEMAN S.A.;2006;Eau (direct);Chloroforme (trichlorométhane);73.8;kg/an
0006104664;PAPETERIES DU LEMAN S.A.;2006;Eau (direct);Mercure et composés (exprimés en tant que Hg);3.23;kg/an
0006104664;PAPETERIES DU LEMAN S.A.;2006;Eau (direct);Phénols (en tant que C total);81.8;kg/an
0006104668;SURF;2006;Air;Tétrachloroéthylène (PER, tétrachloroéthylène);2510;kg/an
0006104679;TEFAL SA;2006;Air;Composés organiques volatils non méthaniques (COVNM);165000;kg/an
0006104679;TEFAL SA;2006;Air;Trichloréthylène;39000;kg/an
0006104679;TEFAL SA;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;20700000;kg/an
0006104681;TANNERIE BCS SAS;2006;Eau (indirect);Chrome et composés (exprimés en tant que Cr);97;kg/an
0006104682;CEREAL PARTNERS FRANCE;2006;Eau (indirect);Carbone organique total (en tant que C total ou DCO/3);82100;kg/an
0006104682;CEREAL PARTNERS FRANCE;2006;Eau (indirect);Demande biologique en oxygène (DBO5);81400;kg/an
0006104682;CEREAL PARTNERS FRANCE;2006;Eau (indirect);Demande chimique en oxygène (DCO);246000;kg/an
0006104705;SKIS DYNASTAR;2006;Air;Composés organiques volatils non méthaniques (COVNM);55700;kg/an
0006104716;CATIDOM SA;2006;Eau (direct);Nickel et composés (exprimés en tant que Ni);21.7;kg/an
0006104720;NTN SNR Seynod;2006;Air;Composés organiques volatils non méthaniques (COVNM);71300;kg/an
0006104732;Frank-et-pignard - Ternier/Le Lac;2006;Air;Dichlorométhane (DCM, chlorure de méthylène);7930;kg/an
0006104732;Frank-et-pignard - Ternier/Le Lac;2006;Air;Trichloréthylène;12100;kg/an
0006104736;T2R;2006;Eau (direct);Nickel et composés (exprimés en tant que Ni);59.2;kg/an
0006104739;FOURNIER;2006;Air;Composés organiques volatils non méthaniques (COVNM);47800;kg/an
0006104748;THALES AVS FRANCE SAS;2006;Air;Hexafluorure de soufre (SF6);1200;kg/an
0006104748;THALES AVS FRANCE SAS;2006;Air;Fluor et ses composés (F);1200;kg/an
0006104749;IDEX Environnement;2006;Air;Mercure et composés (exprimés en tant que Hg);12.8;kg/an
0006104749;IDEX Environnement;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;16300000;kg/an
0006104749;IDEX Environnement;2006;Air;Dioxyde de carbone (CO2) d'origine biomasse;21600000;kg/an
0006104753;SIEGWERK FRANCE SA;2006;Air;Composés organiques volatils non méthaniques (COVNM);264000;kg/an
0006104763;Savoie Chrome Dur Services;2006;Air;Trichloréthylène;2970;kg/an
0006104766;ALPEN'TECH - USINE 2;2006;Air;Trichloréthylène;4590;kg/an
0006104766;ALPEN'TECH - USINE 2;2006;Air;Tétrachloroéthylène (PER, tétrachloroéthylène);2630;kg/an
0006104767;ALPEN'TECH;2006;Air;Trichloréthylène;23400;kg/an
0006104769;SGL CARBON  SA;2006;Air;Fluor et composés inorganiques (en tant que HF);68000;kg/an
0006104769;SGL CARBON  SA;2006;Air;Hydrocarbures aromatiques polycycliques (HAP);1230;kg/an
0006104769;SGL CARBON  SA;2006;Air;Monoxyde de carbone (CO);1230000;kg/an
0006104769;SGL CARBON  SA;2006;Air;Benzo (a) pyrène;25;kg/an
0006104769;SGL CARBON  SA;2006;Air;Fluor et ses composés (F);64000;kg/an
0006104769;SGL CARBON  SA;2006;Eau (direct);Fluoranthène;2.4;kg/an
0006104769;SGL CARBON  SA;2006;Eau (direct);Fluorures (en tant que F total);2420;kg/an
0006104769;SGL CARBON  SA;2006;Eau (direct);Hydrocarbures aromatiques polycycliques (HAP);7.3;kg/an
0006104769;SGL CARBON  SA;2006;Eau (direct);Benzo (a) pyrène;1;kg/an
0006104769;SGL CARBON  SA;2006;Eau (direct);Fluor et ses composés (F);2400;kg/an
0006104781;ELIS ALPES;2006;Eau (indirect);Carbone organique total (en tant que C total ou DCO/3);52800;kg/an
0006104896;LABORATOIRE MERIEL;2006;Air;Aldéhyde formique (formaldéhyde);3.39;kg/an
0006104898;CHU DE SAINT-ETIENNE;2006;Air;Dioxyde de carbone (CO2) d'origine biomasse;12200000;kg/an
0006105003;MAJ ELIS LOIRE;2006;Eau (indirect);Carbone organique total (en tant que C total ou DCO/3);54000;kg/an
0006105219;RHODIA OPERATIONS GE ACETOL;2006;Air;Composés organiques volatils non méthaniques (COVNM);49300;kg/an
0006105219;RHODIA OPERATIONS GE ACETOL;2006;Eau (direct);Azote total;267000;kg/an
0006105219;RHODIA OPERATIONS GE ACETOL;2006;Eau (direct);Carbone organique total (en tant que C total ou DCO/3);323000;kg/an
0006105219;RHODIA OPERATIONS GE ACETOL;2006;Eau (direct);Cuivre et composés (exprimés en tant que Cu);350;kg/an
0006105219;RHODIA OPERATIONS GE ACETOL;2006;Eau (direct);Demande chimique en oxygène (DCO);984000;kg/an
0006105219;RHODIA OPERATIONS GE ACETOL;2006;Eau (direct);Phosphore total;25900;kg/an
0006105220;ISOCHEM SAS;2006;Air;Composés organiques volatils non méthaniques (COVNM);133000;kg/an
0006105220;ISOCHEM SAS;2006;Air;Dichlorométhane (DCM, chlorure de méthylène);25800;kg/an
0006105220;ISOCHEM SAS;2006;Air;Hydrochlorofluorocarbures (HCFC);635;kg/an
0006105220;ISOCHEM SAS;2006;Air;Hydroflurocarbures (HFC);973;kg/an
0006105221;OSIRIS GIE;2006;Air;Oxydes de soufre (SOx/SO2);1310000;kg/an
0006105221;OSIRIS GIE;2006;Air;Oxydes d'azote (NOx/NO2);707000;kg/an
